书名,作者,出版社,年份,评分,评价人数,一句话评语
卡拉马佐夫兄弟,[俄] 费奥多尔·陀思妥耶夫斯基 , 上海译文出版社 , 2006-8 ,9.5,25277,错综复杂的社会、家庭矛盾和人性悲剧
故事新编,鲁迅 , 人民文学出版社 , 1973-12-01 ,9.4,32980,拾取古代传说，取一点因由，随意点染
朝花夕拾,鲁迅 , 人民文学出版社 , 1973-4 ,9.0,133581,在纷扰中寻出一点闲静
格林童话全集,[德国]格林兄弟 , 人民文学出版社 , 1994-11 ,9.0,87268,一本有教育意义的书
嫌疑人X的献身,[日] 东野圭吾 , 南海出版公司 , 2008-9 ,8.9,489387,数学好是一种极致的浪漫
无人生还,[英] 阿加莎・克里斯蒂 , 人民文学出版社 , 2008-3 ,9.0,132138,童谣杀人案
树上的男爵,[意] 伊塔洛·卡尔维诺 , 译林出版社 , 2012-4-1 ,9.1,45833,是不是真的只有先与人疏离，才能最终与他们在一起？
黄金时代,王小波 , 花城出版社 , 1999-3 ,8.9,154435,我想爱，想吃，还想在一瞬间变成天上半明半暗的云
中国少年儿童百科全书（全四册）,林崇德 主编 , 浙江教育出版社 , 1991-4 ,9.4,14908, 
傲慢与偏见,[英] 奥斯丁 , 人民文学出版社 , 1993-7 ,8.9,219591,所有现代言情小说的母体
史记（全十册）,司马迁 , 中华书局 , 1982-11 ,9.5,22263,史家之绝唱，无韵之离骚
鼠疫,[法] 阿尔贝·加缪 , 上海译文出版社 , 2013-8 ,9.1,58045,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理
悲惨世界（上中下）,[法] 雨果 , 人民文学出版社 , 1992-6 ,9.0,59405,现实主义与浪漫主义的至高杰作
历史深处的忧虑,林达 , 生活·读书·新知三联书店 , 1997-5 ,9.0,42804,窥见美国社会的一扇窗
神雕侠侣,金庸 , 生活·读书·新知三联书店 , 1994-5 ,8.9,94506,至情至性，情大于武
诗经,孔丘 编订 , 北京出版社 , 2006-7 ,9.5,25248,思无邪
上帝掷骰子吗,曹天元 , 辽宁教育出版社 , 2006-1 ,9.2,31424,量子物理史话
