书名,作者,出版社,年份,评分,评价人数,一句话评语
不存在的骑士,[意] 伊塔洛·卡尔维诺 , 译林出版社 , 2012-4 ,8.9,17812, 
民主的细节,刘瑜 , 上海三联书店 , 2009-6 ,8.5,74290,公民养成手册
黑箱,[日]伊藤诗织 ,中信出版集团 , 2019-4 ,8.9,18812, 
东晋门阀政治,田余庆 , 北京大学出版社 , 2012-5 ,9.5,8667, 
消失的13级台阶,[日] 高野和明 , 上海文艺出版社 , 2020-5-15 ,8.6,69767, 
会饮篇,[古希腊] 柏拉图 , 商务印书馆 , 2013-1 ,9.3,9019, 
稻草人手记,三毛 , 北京十月文艺出版社 , 2009-3 ,8.9,19009,三毛在加纳利群岛上的生活
黑客与画家,[美] Paul Graham , 人民邮电出版社 , 2011-4 ,8.7,22104,硅谷创业之父Paul Graham文集
给青年诗人的信,[奥] 里尔克 ,云南人民出版社 , 2015-12 ,9.1,11606, 
张爱玲文集,张爱玲 , 安徽文艺出版社 , 1992年 ,8.9,15065, 
显微镜下的大明,马伯庸 , 湖南文艺出版社 , 2019-1 ,8.8,26930, 
如父如子,[日] 是枝裕和 , 湖南文艺出版社 , 2018-4 ,8.9,23923, 
分成两半的子爵,[意] 伊塔洛·卡尔维诺 , 译林出版社 , 2012-4-1 ,8.8,20190, 
牡丹亭,汤显祖 , 人民文学出版社 , 1963-4-1 ,9.0,12844,不到园林，怎知春色如许
金阁寺,[日] 三岛由纪夫 , 上海译文出版社 , 2009-1 ,8.7,32534,他的犯罪动机是对美的嫉妒
狂热分子,[美] 埃里克·霍弗 , 广西师范大学出版社 , 2011-6 ,8.8,14188,探讨群众运动的共有特征
佐贺的超级阿嬷,[日] 岛田洋七 , 南海出版公司 , 2007-3 ,8.7,23380,乐观的外婆却总有神奇的办法
社会性动物,埃利奥特·阿伦森Elliot Aronson , 华东师范大学出版社 , 2007-12 ,9.1,13080,美国社会心理学的《圣经》
